start:
  wk1 pbo -4.09 (-5.94) | wk8 pbo -9.66 (-11.10) | wk4 pbo -9.04 (-8.4) | wk4 PGB300 -15.62 (-12.2) | wk4 ALP -13.88 (-10.9)  SSR=26.5466
  wk1 pbo -4.09 (-5.94) | wk8 pbo -9.66 (-11.10) | wk4 pbo -9.04 (-8.4) | wk4 PGB300 -15.62 (-12.2) | wk4 ALP -13.88 (-10.9)  SSR=26.5466
  wk1 pbo -4.28 (-5.94) | wk8 pbo -10.13 (-11.10) | wk4 pbo -9.47 (-8.4) | wk4 PGB300 -16.04 (-12.2) | wk4 ALP -14.31 (-10.9)  SSR=31.1891
  wk1 pbo -4.21 (-5.94) | wk8 pbo -9.76 (-11.10) | wk4 pbo -9.17 (-8.4) | wk4 PGB300 -15.80 (-12.2) | wk4 ALP -14.05 (-10.9)  SSR=28.2330
  wk1 pbo -4.21 (-5.94) | wk8 pbo -9.95 (-11.10) | wk4 pbo -9.34 (-8.4) | wk4 PGB300 -16.03 (-12.2) | wk4 ALP -14.28 (-10.9)  SSR=31.2385
  wk1 pbo -4.09 (-5.94) | wk8 pbo -9.66 (-11.10) | wk4 pbo -9.04 (-8.4) | wk4 PGB300 -16.08 (-12.2) | wk4 ALP -13.88 (-10.9)  SSR=29.8606
  wk1 pbo -4.09 (-5.94) | wk8 pbo -9.66 (-11.10) | wk4 pbo -9.04 (-8.4) | wk4 PGB300 -15.62 (-12.2) | wk4 ALP -14.24 (-10.9)  SSR=28.7957
  wk1 pbo -3.98 (-5.94) | wk8 pbo -9.43 (-11.10) | wk4 pbo -8.79 (-8.4) | wk4 PGB300 -13.62 (-12.2) | wk4 ALP -12.01 (-10.9)  SSR=10.0465
  wk1 pbo -4.18 (-5.94) | wk8 pbo -9.92 (-11.10) | wk4 pbo -9.23 (-8.4) | wk4 PGB300 -14.05 (-12.2) | wk4 ALP -12.45 (-10.9)  SSR=11.0128
  wk1 pbo -4.09 (-5.94) | wk8 pbo -9.52 (-11.10) | wk4 pbo -8.90 (-8.4) | wk4 PGB300 -13.75 (-12.2) | wk4 ALP -12.15 (-10.9)  SSR=10.1541
  wk1 pbo -4.09 (-5.94) | wk8 pbo -9.69 (-11.10) | wk4 pbo -9.05 (-8.4) | wk4 PGB300 -13.94 (-12.2) | wk4 ALP -12.33 (-10.9)  SSR=10.9052
  wk1 pbo -3.98 (-5.94) | wk8 pbo -9.43 (-11.10) | wk4 pbo -8.79 (-8.4) | wk4 PGB300 -13.86 (-12.2) | wk4 ALP -12.01 (-10.9)  SSR=10.8044
  wk1 pbo -3.98 (-5.94) | wk8 pbo -9.43 (-11.10) | wk4 pbo -8.79 (-8.4) | wk4 PGB300 -13.62 (-12.2) | wk4 ALP -12.24 (-10.9)  SSR=10.6117
  wk1 pbo -4.36 (-5.94) | wk8 pbo -9.50 (-11.10) | wk4 pbo -8.80 (-8.4) | wk4 PGB300 -12.36 (-12.2) | wk4 ALP -10.83 (-10.9)  SSR=5.2327
  wk1 pbo -4.60 (-5.94) | wk8 pbo -10.08 (-11.10) | wk4 pbo -9.31 (-8.4) | wk4 PGB300 -12.88 (-12.2) | wk4 ALP -11.34 (-10.9)  SSR=4.3234
  wk1 pbo -4.47 (-5.94) | wk8 pbo -9.54 (-11.10) | wk4 pbo -8.84 (-8.4) | wk4 PGB300 -12.41 (-12.2) | wk4 ALP -10.87 (-10.9)  SSR=4.8479
  wk1 pbo -4.47 (-5.94) | wk8 pbo -9.68 (-11.10) | wk4 pbo -8.98 (-8.4) | wk4 PGB300 -12.58 (-12.2) | wk4 ALP -11.04 (-10.9)  SSR=4.6831
  wk1 pbo -4.36 (-5.94) | wk8 pbo -9.50 (-11.10) | wk4 pbo -8.80 (-8.4) | wk4 PGB300 -12.49 (-12.2) | wk4 ALP -10.83 (-10.9)  SSR=5.2880
  wk1 pbo -4.36 (-5.94) | wk8 pbo -9.50 (-11.10) | wk4 pbo -8.80 (-8.4) | wk4 PGB300 -12.36 (-12.2) | wk4 ALP -10.97 (-10.9)  SSR=5.2320
